@relation 'namesdataset - Copy'

@attribute Names {Amira,Kawkab,Faheem,Faisal,Adam,Omar,Layla,Dawud,Bashir,Afeefah,Asim,Ismail,Hussein,Bushra,Nida,Iman,Hala,Naeema,Fareed,Shakir,Ghaliya,BadrUddin,Aneesa,Sharifa,Aakifa,Ubaid,Husna,Arif,Safa,Faris,Aamir,Farida,Shahid,Huda,Mujtaba,Eisa,Nadia,Afra,Sharif,Aziza,Umair,Ahmad,Irfan,Shuaib,Amal,Murad,Furqan,Abida,Muneeb,Khadijah,Abeer,Areej,Habib,Urwa,Aida,Afia,Adeeb,Noor,Iffat,Nafisa,Farhan,Aatika,Burhan,Maleeha,Munira,Zeenat,Maymouna,Saadiya,Inaya,Firdous,Khalida,Luqman,Almas,Qamar,Uqbah,Falak,AbdulAlim,Arshad,Azra,Amjad,Khawlah,Akram,Hadiyya,Asiyah,Hashim,Jamila,Ajmal,Anas,Adeela,Aqeel,Raniya,Munir,Maha,Imran,Asma,Hamza,Bilal,Anees,Amina}
@attribute 'Start Vowel' {TRUE,FALSE}
@attribute 'End Vowel' {TRUE,FALSE}
@attribute 'Start Consonant' {FALSE,TRUE}
@attribute Gender {TRUE,FALSE}
@attribute 'Short Name' {FALSE,TRUE}
@attribute 'Lengthy Name' {TRUE,FALSE}

@data
Amira,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Kawkab,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Faheem,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Faisal,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Adam,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Omar,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Layla,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Dawud,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Bashir,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Afeefah,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Asim,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Ismail,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Hussein,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Bushra,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Nida,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Iman,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Hala,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Naeema,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Fareed,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Shakir,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Ghaliya,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
BadrUddin,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Aneesa,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sharifa,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Aakifa,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Ubaid,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Husna,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Arif,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Safa,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Faris,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Aamir,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Farida,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Shahid,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Huda,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Mujtaba,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Eisa,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
